Year,Month,Week,Fortnight,#Clinic,#Medical Department,#Doctor,#Hospitalization Reason,#Follow Up Reason,#Task Type Id,Task code,Task title,Task is active,Task is for patient,Task is mandatory,Task is manual,Task completed by patient,Is Satisfaction Survey,CorrelationEntity,#Alert Type,Number of tasks,Number of response,Number of alert
2020,3,11,1,1,16,906,3,1,1,SUIVI_COVID_ADULTE,,0,1,1,0,,0,,,40,0,0
2020,3,11,1,1,24,1048,3,2,1,SUIVI_COVID_ADULTE,,1,1,1,0,,0,,,81,0,0
2020,3,11,1,1,11,277,1,2,1,SUIVI_COVID_ADULTE,,0,1,1,0,1,0,SurveyResult,2,2,2,2
2020,3,12,2,1,18,1340,3,2,1,SUIVI_COVID_ADULTE,,0,1,1,0,,0,,,2,0,0
2020,3,12,2,1,4,904,4,2,1,SUIVI_COVID_ADULTE,,0,1,1,0,1,0,SurveyResult,,1,1,0
2020,3,10,1,1,-1,64,1,1,1,SUIVI_COVID_ADULTE,,1,1,1,0,,0,,,28,0,0
2020,3,12,2,1,8,1791,-1,2,1,SUIVI_COVID_ADULTE,,1,1,1,0,,0,,,304,0,0
2020,3,11,1,1,16,1640,3,1,1,SUIVI_COVID_ADULTE,,1,1,1,0,,0,,,38,0,0
2020,3,11,1,1,17,763,1,2,1,SUIVI_COVID_ADULTE,,1,1,1,0,,0,,,21,0,0
2020,3,10,1,1,1,12,1,2,1,SUIVI_COVID_ADULTE,,0,1,1,0,1,0,SurveyResult,2,1,1,1
2020,3,10,1,1,31,1344,3,1,1,SUIVI_COVID_ADULTE,,1,1,1,0,,0,,,36,0,0
2020,3,11,1,1,5,549,2,1,1,SUIVI_COVID_ADULTE,,1,1,1,0,,0,,,80,0,0
2020,3,9,1,1,3,32,2,1,1,SUIVI_COVID_ADULTE,,1,1,1,0,,0,,,22,0,0
2020,3,10,1,1,13,367,3,2,1,SUIVI_COVID_ADULTE,,0,1,1,0,1,0,SurveyResult,2,9,9,9
2020,3,11,1,1,13,359,1,1,1,SUIVI_COVID_ADULTE,,0,1,1,0,1,0,SurveyResult,1,2,2,2
2020,3,11,1,1,10,452,1,1,1,SUIVI_COVID_ADULTE,,0,1,1,0,1,0,SurveyResult,1,1,1,1
2020,3,11,1,1,3,82,3,2,1,SUIVI_COVID_ADULTE,,0,1,1,0,1,0,SurveyResult,,14,14,0
2020,3,12,2,1,9,1128,2,1,1,SUIVI_COVID_ADULTE,,0,1,1,0,,0,,,6,0,0
2020,3,12,2,1,11,223,1,2,1,SUIVI_COVID_ADULTE,,1,1,1,0,,0,,,30,0,0
2020,3,11,1,1,4,1707,4,2,1,SUIVI_COVID_ADULTE,,1,1,1,0,,0,,,53,0,0
2020,3,11,1,1,17,756,3,2,1,SUIVI_COVID_ADULTE,,0,1,1,0,,0,,,3,0,0
2020,3,11,1,1,13,326,1,2,1,SUIVI_COVID_ADULTE,,0,1,1,0,,0,,,21,0,0
2020,2,9,2,1,1,12,2,1,1,SUIVI_COVID_ADULTE,,0,1,1,0,,0,,,76,0,0
2020,3,11,1,1,11,250,1,2,1,SUIVI_COVID_ADULTE,,0,1,1,0,1,0,SurveyResult,1,1,1,1
2020,3,12,2,1,15,516,3,2,1,SUIVI_COVID_ADULTE,,0,1,1,0,,0,,,2,0,0
2020,3,11,1,1,3,32,3,2,1,SUIVI_COVID_ADULTE,,0,1,1,0,1,0,SurveyResult,2,35,35,35
2020,3,11,1,1,17,728,3,1,1,SUIVI_COVID_ADULTE,,0,1,1,0,,0,,,18,0,0
2020,3,12,2,1,10,463,1,2,1,SUIVI_COVID_ADULTE,,0,1,1,0,,0,,,9,0,0
2020,3,10,1,1,13,328,2,2,1,SUIVI_COVID_ADULTE,,0,1,1,0,1,0,SurveyResult,2,2,2,2
