#Clinic,Clinic,#Doctor,Doctor,#Hospitalization reason,Hospitalization reason,#Follow up reason,Follow up reason
1,Région Ile de France,287,BUGAREL-HELLEQUIN Clara,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,287,BUGAREL-HELLEQUIN Clara,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,287,BUGAREL-HELLEQUIN Clara,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,287,BUGAREL-HELLEQUIN Clara,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,287,BUGAREL-HELLEQUIN Clara,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,287,BUGAREL-HELLEQUIN Clara,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,287,BUGAREL-HELLEQUIN Clara,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,287,BUGAREL-HELLEQUIN Clara,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,287,BUGAREL-HELLEQUIN Clara,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,287,BUGAREL-HELLEQUIN Clara,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,287,BUGAREL-HELLEQUIN Clara,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,287,BUGAREL-HELLEQUIN Clara,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,288,CAJEE Nawra,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,288,CAJEE Nawra,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,288,CAJEE Nawra,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,288,CAJEE Nawra,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,288,CAJEE Nawra,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,288,CAJEE Nawra,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,288,CAJEE Nawra,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,288,CAJEE Nawra,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,288,CAJEE Nawra,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,288,CAJEE Nawra,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,288,CAJEE Nawra,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,288,CAJEE Nawra,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,290,CAPUT Charles,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,290,CAPUT Charles,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,290,CAPUT Charles,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,290,CAPUT Charles,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,290,CAPUT Charles,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,290,CAPUT Charles,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,290,CAPUT Charles,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,290,CAPUT Charles,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,290,CAPUT Charles,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,290,CAPUT Charles,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,290,CAPUT Charles,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,290,CAPUT Charles,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,291,CAZENAVE Michel Gabriel,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,291,CAZENAVE Michel Gabriel,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,291,CAZENAVE Michel Gabriel,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,291,CAZENAVE Michel Gabriel,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,291,CAZENAVE Michel Gabriel,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,291,CAZENAVE Michel Gabriel,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,291,CAZENAVE Michel Gabriel,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,291,CAZENAVE Michel Gabriel,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,291,CAZENAVE Michel Gabriel,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,291,CAZENAVE Michel Gabriel,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,291,CAZENAVE Michel Gabriel,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,291,CAZENAVE Michel Gabriel,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,292,CHERPIN Elisa,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,292,CHERPIN Elisa,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,292,CHERPIN Elisa,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,292,CHERPIN Elisa,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,292,CHERPIN Elisa,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,292,CHERPIN Elisa,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,292,CHERPIN Elisa,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,292,CHERPIN Elisa,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,292,CHERPIN Elisa,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,292,CHERPIN Elisa,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,292,CHERPIN Elisa,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,292,CHERPIN Elisa,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,294,CHIM Vanessa,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,294,CHIM Vanessa,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,294,CHIM Vanessa,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,294,CHIM Vanessa,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,294,CHIM Vanessa,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,294,CHIM Vanessa,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,294,CHIM Vanessa,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,294,CHIM Vanessa,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,294,CHIM Vanessa,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,294,CHIM Vanessa,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,294,CHIM Vanessa,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,294,CHIM Vanessa,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,295,COHEN Yonathan,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,295,COHEN Yonathan,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,295,COHEN Yonathan,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,295,COHEN Yonathan,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
